Einwohnerzahl BI;339842;Quelle: bielefeld.de, Stichtag 31.12.2019;;;;;;
Einwohnerzahl D;83019213;Quelle: Destatis, Stichtag 31.12.2018;;;;;;
Quelle Bielefeld;bielefeld.de;;;;;;;
Quelle  Deutschland ;www.rki.de/covid-19;;;;;;;
Hinweis;Die Zahlen vom RKI werden um 0 Uhr erhoben, die Zahlen der Stadt Bielefeld entsprechen i.d.R. dem Stand zwischen 16 und 17 Uhr des jeweiligen Tages;;;;;;;
;;;;;;;;
date;weekend;weekday;BI.confirmed;BI.death;D.confirmed;D.death;D.cases.per100000;BI.cases.per100000
04.03.2020;0;WED;0;0;262;0;0.315589597;0
05.03.2020;0;THUR;0;0;400;0;0.481816179;0
06.03.2020;0;FRI;0;0;639;0;0.769701346;0
07.03.2020;1;SAT;2;0;795;0;0.957609656;0.588508778
08.03.2020;1;SUN;2;0;902;0;1.086495484;0.588508778
09.03.2020;0;MON;2;0;1139;2;1.37197157;0.588508778
10.03.2020;0;TUES;3;0;1296;2;1.56108442;0.882763166
11.03.2020;0;WED;9;0;1567;3;1.887514882;2.648289499
12.03.2020;0;THUR;15;0;2369;5;2.853556321;4.413815832
13.03.2020;0;FRI;19;0;3062;5;3.688302851;5.590833387
14.03.2020;1;SAT;25;0;3795;8;4.571230999;7.35635972
15.03.2020;1;SUN;27;0;4838;12;5.827566686;7.944868498
16.03.2020;0;MON;28;0;6012;13;7.241697172;8.239122887
17.03.2020;0;TUES;43;0;7156;12;8.619691444;12.65293872
18.03.2020;0;WED;49;0;8198;12;9.874822591;14.41846505
19.03.2020;0;THUR;57;0;10999;20;13.24874038;16.77250016
20.03.2020;0;FRI;72;0;13957;31;16.81177103;21.18631599
21.03.2020;1;SAT;81;0;16662;46;20.07005294;23.83460549
22.03.2020;1;SUN;93;0;18610;55;22.41649773;27.36565816
